Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
Node ID	CPU Usage (%)	Total number of transactions
39	30.08	48	
6	30.08	48	
33	12.46	20	
21	12.46	20	
44	12.46	20	
29	12.46	20	
3	12.46	20	
26	12.46	20	
47	12.46	20	
30	12.46	20	
40	12.46	20	
42	12.46	20	
47	12.46	20	
45	12.46	20	
10	26.53	42	
8	26.53	42	
22	26.53	42	
4	26.53	42	
35	26.53	42	
34	26.53	42	
37	26.53	42	
44	26.53	42	
35	26.53	42	
17	26.53	42	
2	26.53	42	
36	26.53	42	
41	14.94	24	
49	14.94	24	
40	14.94	24	
31	14.94	24	
34	14.94	24	
26	14.94	24	
30	14.94	24	
35	14.94	24	
45	14.94	24	
3	14.94	24	
13	14.94	24	
42	29.50	47	
3	29.50	47	
40	29.50	47	
23	29.50	47	
7	29.50	47	
29	29.50	47	
42	29.50	47	
22	29.50	47	
33	29.50	47	
29	29.50	47	
42	29.50	47	
23	29.50	47	
43	29.50	47	
25	29.50	47	
4	29.50	47	
28	29.50	47	
47	29.50	47	
20	29.50	47	
24	11.92	19	
18	11.92	19	
1	11.92	19	
37	11.92	19	
43	11.92	19	
29	11.92	19	
42	11.92	19	
5	11.92	19	
20	11.92	19	
14	11.92	19	
18	11.92	19	
9	25.72	41	
12	25.72	41	
29	25.72	41	
11	25.72	41	
28	25.72	41	
42	25.72	41	
35	25.72	41	
44	25.72	41	
19	25.72	41	
2	25.72	41	
29	39.24	63	
49	39.24	63	
17	39.24	63	
14	39.24	63	
36	39.24	63	
43	39.24	63	
43	39.24	63	
14	39.24	63	
39	39.24	63	
14	39.24	63	
17	39.24	63	
16	39.24	63	
36	39.24	63	
8	39.24	63	
3	52.56	84	
46	52.56	84	
5	52.56	84	
24	52.56	84	
26	52.56	84	
14	52.56	84	
38	52.56	84	
28	4.54	7	
23	4.54	7	
42	4.54	7	
44	4.54	7	
3	4.54	7	
42	4.54	7	
1	4.54	7	
37	18.19	29	
49	18.19	29	
43	18.19	29	
37	18.19	29	
49	18.19	29	
46	18.19	29	
28	18.19	29	
32	18.19	29	
10	31.98	51	
48	31.98	51	
13	31.98	51	
11	31.98	51	
10	31.98	51	
44	31.98	51	
37	31.98	51	
1	31.98	51	
49	31.98	51	
37	31.98	51	
28	31.98	51	
7	31.98	51	
41	45.69	73	
29	45.69	73	
43	45.69	73	
33	45.69	73	
6	45.69	73	
31	45.69	73	
21	45.69	73	
22	45.69	73	
4	45.69	73	
8	45.69	73	
41	59.78	96	
1	59.78	96	
44	59.78	96	
20	59.78	96	
38	59.78	96	
44	59.78	96	
37	59.78	96	
41	59.78	96	
26	59.78	96	
4	59.78	96	
35	59.78	96	
33	59.78	96	
15	59.78	96	
7	11.42	18	
46	11.42	18	
30	11.42	18	
21	11.42	18	
36	11.42	18	
46	11.42	18	
37	11.42	18	
5	11.42	18	
14	11.42	18	
24	25.28	40	
10	25.28	40	
41	25.28	40	
27	25.28	40	
13	25.28	40	
27	25.28	40	
47	25.28	40	
48	25.28	40	
15	25.28	40	
1	25.28	40	
14	25.28	40	
7	25.28	40	
33	25.28	40	
31	25.28	40	
39	7.44	12	
19	7.44	12	
2	7.44	12	
29	7.44	12	
28	7.44	12	
32	52.08	83	
47	52.08	83	
34	52.08	83	
42	52.08	83	
31	35.15	56	
11	35.15	56	
28	35.15	56	
2	35.15	56	
25	35.15	56	
4	35.15	56	
38	35.15	56	
25	35.15	56	
7	35.15	56	
7	35.15	56	
29	35.15	56	
6	35.15	56	
37	35.15	56	
22	35.15	56	
18	35.15	56	
9	35.15	56	
22	48.93	78	
23	48.93	78	
47	48.93	78	
2	48.93	78	
13	48.93	78	
15	48.93	78	
8	48.93	78	
48	0.62	1	
4	0.62	1	
28	0.62	1	
15	0.62	1	
5	0.62	1	
31	0.62	1	
48	0.62	1	
6	0.62	1	
7	0.62	1	
25	0.62	1	
34	0.62	1	
8	0.62	1	
47	45.15	72	
18	45.15	72	
47	45.15	72	
35	45.15	72	
26	45.15	72	
44	45.15	72	
47	45.15	72	
10	58.72	94	
8	58.72	94	
13	58.72	94	
8	58.72	94	
46	58.72	94	
19	58.72	94	
8	58.72	94	
47	58.72	94	
11	58.72	94	
2	58.72	94	
17	58.72	94	
29	58.72	94	
49	41.59	67	
10	41.59	67	
45	41.59	67	
37	41.59	67	
35	41.59	67	
42	41.59	67	
41	41.59	67	
40	41.59	67	
47	41.59	67	
34	41.59	67	
26	41.59	67	
19	41.59	67	
29	55.06	88	
26	55.06	88	
43	55.06	88	
25	55.06	88	
45	55.06	88	
1	55.06	88	
10	55.06	88	
7	55.06	88	
7	55.06	88	
39	55.06	88	
1	55.06	88	
42	55.06	88	
42	55.06	88	
19	37.56	60	
13	37.56	60	
34	37.56	60	
6	37.56	60	
11	37.56	60	
7	37.56	60	
12	37.56	60	
3	37.56	60	
10	37.56	60	
26	37.56	60	
6	37.56	60	
44	37.56	60	
16	37.56	60	
48	20.31	32	
19	20.31	32	
31	20.31	32	
42	20.31	32	
37	20.31	32	
31	20.31	32	
38	20.31	32	
32	20.31	32	
17	20.31	32	
6	20.31	32	
11	20.31	32	
44	20.31	32	
1	20.31	32	
7	20.31	32	
31	20.31	32	
42	20.31	32	
6	3.68	6	
40	3.68	6	
6	3.68	6	
37	17.18	27	
13	17.18	27	
20	17.18	27	
8	17.18	27	
30	17.18	27	
16	17.18	27	
4	17.18	27	
17	17.18	27	
21	17.18	27	
49	30.58	49	
10	30.58	49	
16	30.58	49	
40	30.58	49	
34	30.58	49	
37	30.58	49	
24	30.58	49	
8	30.58	49	
35	30.58	49	
17	30.58	49	
48	44.57	71	
24	44.57	71	
31	44.57	71	
18	44.57	71	
46	44.57	71	
38	44.57	71	
14	44.57	71	
44	44.57	71	
18	44.57	71	
37	44.57	71	
35	44.57	71	
30	44.57	71	
39	44.57	71	
23	44.57	71	
20	44.57	71	
43	44.57	71	
4	44.57	71	
48	44.57	71	
38	44.57	71	
42	57.88	93	
18	57.88	93	
31	57.88	93	
31	57.88	93	
25	57.88	93	
40	57.88	93	
44	57.88	93	
2	57.88	93	
17	57.88	93	
1	40.53	65	
48	40.53	65	
4	40.53	65	
26	40.53	65	
25	40.53	65	
38	40.53	65	
17	40.53	65	
47	40.53	65	
20	23.38	37	
46	23.38	37	
34	23.38	37	
27	23.38	37	
48	23.38	37	
37	23.38	37	
22	23.38	37	
9	23.38	37	
39	23.38	37	
2	23.38	37	
37	23.38	37	
39	23.38	37	
16	23.38	37	
10	23.38	37	
25	23.38	37	
20	23.38	37	
12	23.38	37	
18	36.68	59	
48	36.68	59	
21	36.68	59	
18	36.68	59	
10	36.68	59	
22	36.68	59	
5	36.68	59	
12	36.68	59	
47	36.68	59	
12	36.68	59	
34	36.68	59	
7	36.68	59	
46	36.68	59	
17	50.78	81	
4	50.78	81	
18	50.78	81	
47	50.78	81	
5	33.52	54	
18	33.52	54	
30	33.52	54	
8	33.52	54	
36	15.98	26	
8	15.98	26	
30	15.98	26	
30	29.80	48	
12	29.80	48	
25	29.80	48	
5	29.80	48	
23	29.80	48	
39	29.80	48	
19	29.80	48	
4	29.80	48	
30	29.80	48	
